# the q's: q1 = 0.973611, q2 = -0.140818, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 19.815000 
#  
9.736108844321004208e-01,-1.408179674408242821e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.257560249102930072e+00
5.606005589277608614e+00,2.238679340391703132e+00,-5.654014841055899687e+00
2.800095108057335525e-01,-3.370939504433247830e-02,-3.324389551465227743e-01
-3.488824600265169606e-01,-1.358535245370138811e-01,3.593796524281603899e-01
-2.146771538602484097e-01,-8.743380064507906210e-03,1.957288010628295827e-01
-2.034866312180209358e-01,6.883019282313251885e-02,2.012687676762952294e-01
-5.196568550053014962e-02,-1.733005482447248780e-02,5.198889311916538025e-02
2.611327762956256598e-02,-5.476257578821835947e-03,-1.985592104176179401e-02
3.577372130306877285e-02,1.343575451349351838e-03,-2.923847409280082646e-02
2.762978347099203855e-02,-1.550286873592415272e-02,-2.309244970006575637e-02
1.918059179778863060e-02,4.682630358968002150e-03,-1.944668293644701701e-02
