# the q's: q1 = 0.986565, q2 = -0.042210, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 2.000000 
#  
9.865648759123455402e-01,-4.221033359754636921e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.065766530540319001e-01
5.347888296817026044e-01,2.789894245239579740e-01,-5.711048761095754989e-01
2.305881326327366768e-02,-9.869209963466252841e-04,-2.822628338600729342e-02
-3.485367691624672443e-02,-1.818338751804238207e-02,3.742240245566285511e-02
-1.826937187995722120e-02,-2.914778477721808973e-03,1.790028033547607506e-02
-1.795266981748382118e-02,4.464871941406826222e-03,1.790017472339721846e-02
-3.566417003785853686e-03,-1.860349000526963529e-03,3.981768541915163030e-03
1.792906646024144913e-03,-7.568396540584208766e-05,-1.533300386197472900e-03
2.129038894262301560e-03,5.790359719919618408e-04,-2.082352542059135413e-03
2.071603006256000044e-03,-7.574074048381809711e-04,-2.082172680003496409e-03
1.237096807446296269e-03,6.457325721631381474e-04,-1.367395573474017171e-03
