# the q's: q1 = 0.514771, q2 = 0.077337, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 22.646000 
#  
5.147705178376424939e-01,7.733726554659403618e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.576889892378270819e+00
7.049757472430366038e-08,2.281595616979366679e-08,-2.000578296516077479e-08
1.743314503225662720e-08,-2.794556055976025372e-08,5.360970274310525967e-09
-2.646708801156109607e-08,3.779816973209671365e-08,-9.261193851423482640e-09
-9.171498289931736147e-09,1.666785770552802163e-08,-1.311725776286275733e-08
-2.293436027262207812e-08,-4.007989870919250913e-08,-1.538598001208942648e-08
1.144479678964451829e-08,3.205053347572205260e-08,-1.328524803447826352e-08
-4.464289066089294016e-08,-1.576559324938483958e-08,1.436255477818349275e-09
-4.514049557944082792e-08,-2.017751479796798577e-08,-5.417211337957416779e-09
-2.607481337879562565e-08,5.935439716718601727e-09,-3.367343370255073131e-09
-1.685820027280589189e-08,-1.352016115926460208e-08,-5.495323516347904918e-09
