# the q's: q1 = 0.514766, q2 = 0.077337, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 22.646000 
#  
5.147657405033367883e-01,7.733726554659403618e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.576889914097945766e+00
4.690355915332562531e-08,2.121987004012877385e-08,3.775838594128286577e-09
-4.392092852981994584e-08,-5.903717346987019788e-09,9.349866211109306656e-09
-2.885317574774960150e-08,3.620299485744661985e-09,-1.465519967906476048e-08
-4.503985073854632077e-08,-3.485429400150354638e-08,-1.415347623358530370e-08
-8.630078698402041368e-09,-1.661852636276721075e-09,-1.685405094032236570e-09
-2.840244089570431053e-08,-1.837978255601332758e-08,-9.691813586234742840e-10
-1.138497603832992136e-08,3.575362965354756818e-08,-9.286529388500927621e-10
2.948233533508777230e-08,2.898690870915083022e-08,-1.249127687808615807e-09
2.523338743949234482e-08,-7.314141850489562611e-09,-1.527609863121623355e-08
4.546673524701917053e-08,2.496681102013116534e-09,-7.486027515526523043e-09
